Descriptive.ID,Date,Transect.Transect.Number,Depth,GlassSponge1,GlassSponge2,GlassSponge3,Species,TL,Multiplier,PU_1Km_ID,PU_4Km_ID
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,puget sound,12,15,286,9266
sag-28-09-2020,28-Sep-20,2,17,0,0,0,china,22,2,265,9108
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,yellowtail,25,4,286,9266
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,yellowtail,18,8,286,9266
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,yellowtail,30,3,286,9266
sag-28-09-2020,28-Sep-20,1,26,0,0,0,widow,5,50,265,9108
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,quillback,23,3,286,9266
sag-28-09-2020,28-Sep-20,1,26,0,0,0,yellowtail,10,8,265,9108
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,quillback,40,2,286,9266
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,puget sound,12,3,286,9266
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,yellowtail,26,7,286,9266
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,yellowtail,28,15,286,9266
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,yellowtail,32,4,286,9266
sfr-28-09-2020,28-Sep-20,2,18,1,1,0,yellowtail,14,180,286,9266
sag-28-09-2020,28-Sep-20,2,17,0,0,0,quillback,20,1,265,9108
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,quillback,22,4,286,9266
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,puget sound,14,8,286,9266
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,quillback,42,3,286,9266
sag-28-09-2020,28-Sep-20,1,26,0,0,0,black & yellowtail,4,100,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,quillback,17,1,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,puget sound,12,10,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,puget sound,10,15,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,china,22,1,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,china,18,1,265,9108
sag-28-09-2020,28-Sep-20,1,26,0,0,0,quillback,20,6,265,9108
sfr-28-09-2020,28-Sep-20,1,30,1,1,0,quillback,36,4,286,9266
nfr-28-09-2020,28-Sep-20,1,30,1,0,1,widow,5,1000,286,9266
nfr-28-09-2020,28-Sep-20,1,30,1,0,1,quillback,35,1,286,9266
nfr-28-09-2020,28-Sep-20,3,7,0,0,0,none,NA,0,286,9266
nfr-28-09-2020,28-Sep-20,2,17,0,0,0,widow,5,1000,286,9266
nfr-28-09-2020,28-Sep-20,2,17,0,0,0,black & yellowtail,4,700,286,9266
onu-28-09-2020,28-Sep-20,1,25,1,1,0,yellowtail,15,18,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,redstripe,16,2,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,14,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,26,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,30,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,28,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,24,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,black,35,6,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,black,15,30,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,black,22,61,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,30,2,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,36,2,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,28,1,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,china,36,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,widow,36,4,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,yellowtail,36,12,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,yellowtail,22,10,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,yellowtail,30,5,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,canary,20,4,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,canary,24,7,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,canary,25,6,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,canary,23,1,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,quillback,42,3,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,quillback,38,2,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,quillback,28,3,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,quillback,32,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,widow,5,1000,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,black & yellowtail,4,250,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,copper,44,2,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,black,15,1,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,copper,22,3,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,copper,26,2,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,widow,35,11,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,widow,28,16,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,widow,33,22,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,redstripe,19,2,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,puget sound,15,6,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,silvergray,38,1,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,widow,20,4,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,widow,36,2,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,quillback,22,3,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,widow,32,5,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,widow,23,4,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,china,36,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,china,38,2,242,8950
onu-28-09-2020,28-Sep-20,1,25,1,1,0,china,38,3,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,quillback,26,9,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,black,18,1,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,quillback,15,4,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,quillback,32,1,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,black,32,1,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,black,20,5,242,8950
onu-28-09-2020,28-Sep-20,3,6,0,0,0,black,22,4,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,widow,28,11,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,yellowtail,12,160,242,8950
onu-28-09-2020,28-Sep-20,2,15,0,0,0,puget sound,12,4,242,8950
shh-27-09-2020,27-Sep-20,3,5,2,1,0,quillback,18,4,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,black & yellowtail,6,80,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,quillback,22,8,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,copper,16,4,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,widow,6,40,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,widow,15,8,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,widow,20,4,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,quillback,15,5,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,quillback,19,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,widow,25,33,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,copper,22,5,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,yellowtail,20,120,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,black,14,32,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,yellowtail,15,40,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,yellowtail,25,44,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,yellowtail,15,7,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,yellowtail,20,5,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,widow,9,80,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,widow,20,40,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,widow,28,3,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,quillback,16,1,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,quillback,15,1,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,quillback,36,4,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,quillback,25,8,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,china,22,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,puget sound,13,8,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,yellowtail,18,60,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,yellowtail,12,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,yellowtail,14,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,copper,22,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,copper,32,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,copper,25,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,copper,41,1,148,7843
shh-27-09-2020,27-Sep-20,1,30,3,1,0,widow,6,100,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,copper,18,5,148,7843
shh-27-09-2020,27-Sep-20,3,5,2,1,0,copper,15,4,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,quillback,28,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,quillback,20,1,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,quillback,15,2,148,7843
shh-27-09-2020,27-Sep-20,2,16,0,0,0,quillback,12,1,148,7843
kww-27-09-2020,27-Sep-20,3,5,0,0,0,quillback,5,100,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,copper,27,1,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,yellowtail,40,100,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,china,30,1,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,china,35,1,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,widow,20,200,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,widow,30,200,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,quillback,25,3,154,8000
kww-27-09-2020,27-Sep-20,1,32,1,2,1,quillback,22,1,154,8000
kww-27-09-2020,27-Sep-20,2,17,0,0,0,quillback,12,2,154,8000
kww-27-09-2020,27-Sep-20,2,17,0,0,0,quillback,15,3,154,8000
kww-27-09-2020,27-Sep-20,2,17,0,0,0,quillback,20,3,154,8000
kww-27-09-2020,27-Sep-20,2,17,0,0,0,quillback,18,1,154,8000
kww-27-09-2020,27-Sep-20,3,5,0,0,0,black & yellowtail,4,100,154,8000
kww-27-09-2020,27-Sep-20,3,5,0,0,0,quillback,5,100,154,8000
kww-27-09-2020,27-Sep-20,3,5,0,0,0,black & yellowtail,4,100,154,8000
jct-27-09-2020,27-Sep-20,1,30,1,1,1,quillback,20,2,153,7999
jct-27-09-2020,27-Sep-20,2,15,0,0,0,copper,27,1,153,7999
jct-27-09-2020,27-Sep-20,1,30,1,1,1,quillback,15,1,153,7999
jct-27-09-2020,27-Sep-20,1,30,1,1,1,quillback,17,1,153,7999
jct-27-09-2020,27-Sep-20,1,30,1,1,1,canary,20,5,153,7999
jct-27-09-2020,27-Sep-20,1,30,1,1,1,yellowtail,10,120,153,7999
jct-27-09-2020,27-Sep-20,2,15,0,0,0,widow,4,30,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,36,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,yellowtail,14,2,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,yellowtail,15,30,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,copper,40,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,copper,22,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,copper,30,3,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,copper,12,2,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,copper,38,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,copper,30,4,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,widow,9,62,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,23,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,32,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,yellowtail,26,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,copper,30,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,copper,28,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,copper,35,1,153,7999
crg-27-09-2020,27-Sep-20,3,4,0,0,0,black & yellowtail,5,18,153,7999
crg-27-09-2020,27-Sep-20,3,4,0,0,0,black,15,5,153,7999
crg-27-09-2020,27-Sep-20,3,4,0,0,0,black,18,6,153,7999
crg-27-09-2020,27-Sep-20,3,4,0,0,0,black,13,9,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,yellowtail,10,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,25,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,widow,6,30,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,canary,38,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,canary,16,3,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,canary,36,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,canary,30,4,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,canary,28,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,40,2,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,30,2,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,20,6,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,12,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,18,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,copper,48,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,yellowtail,19,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,canary,14,6,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,yellowtail,15,2,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,12,1,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,16,4,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,quillback,10,2,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,12,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,19,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,15,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,18,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,quillback,14,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,yellowtail,18,1,153,7999
crg-27-09-2020,27-Sep-20,2,9,0,0,0,yellowtail,14,5,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,canary,20,3,153,7999
crg-27-09-2020,27-Sep-20,1,22,0,0,0,copper,30,1,153,7999
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,10,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,20,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,22,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,25,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,yellowtail,15,20,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,widow,5,1000,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,widow,20,2,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,widow,10,1,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,widow,12,10,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,10,5,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,12,5,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,12,20,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,8,5,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,puget sound,10,3,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,8,1,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,12,20,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,copper,22,1,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,copper,25,1,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,widow,5,250,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,copper,27,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,8,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,widow,25,30,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,widow,4,2000,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,bocaccio,15,6,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,puget sound,13,5,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,yellowtail,10,4,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,quillback,25,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,yellowtail,27,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,yellowtail,25,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,yellowtail,35,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,yellowtail,20,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,yellowtail,12,10,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,27,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,quillback,30,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,quillback,20,3,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,quillback,22,3,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,quillback,10,3,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,quillback,12,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,copper,35,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,canary,30,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,puget sound,15,15,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,shortbelly,15,10,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,yellowtail,12,20,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,shortbelly,8,2,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,widow,12,2,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,10,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,12,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,20,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,30,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,copper,35,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,copper,30,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,puget sound,10,5,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,shortbelly,10,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,bocaccio,12,100,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,bocaccio,12,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,bocaccio,10,3,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,china,25,1,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,widow,4,200,235,8788
knb-26-09-2020,26-Sep-20,1,27,0,0,0,widow,4,1000,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,15,1,235,8788
knb-26-09-2020,26-Sep-20,2,18,0,0,0,shortbelly,12,15,235,8788
knb-26-09-2020,26-Sep-20,3,5,0,0,0,widow,5,500,235,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,yellowtail,14,3,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,yellowtail,18,2,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,yellowtail,15,3,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,9,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,17,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,18,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,16,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,20,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,25,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,quillback,22,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,copper,32,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,copper,15,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,black & yellowtail,5,32,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,copper,7,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,copper,13,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,copper,9,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,copper,11,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,quillback,9,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,quillback,6,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,quillback,8,2,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,quillback,7,2,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,widow,5,60,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,quillback,38,1,231,8788
cmt-26-09-2020,26-Sep-20,3,5,0,0,0,copper,8,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,puget sound,13,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,tiger,32,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,silvergray,32,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,yellowtail,14,11,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,yellowtail,28,3,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,puget sound,6,50,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,copper,26,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,quillback,22,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,canary,26,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,copper,42,1,231,8788
cmt-26-09-2020,26-Sep-20,2,18,0,0,0,black & yellowtail,5,20,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,canary,18,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,canary,20,1,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,yellowtail,22,5,231,8788
cmt-26-09-2020,26-Sep-20,1,30,1,0,1,canary,28,1,231,8788
